"",""
"Action","Action"
"Add Distributor","Add Distributor"
"An error occurred while updating the distributors.","An error occurred while updating the distributors."
"Are you sure?","Are you sure?"
"Associated regions","Associated regions"
"Brands","Brands"
"CSV","CSV"
"Change status","Change status"
"Could not find distributor to delete.","Could not find distributor to delete."
"Created at","Created at"
"Delete Distributor","Delete Distributor"
"Delete","Delete"
"Disabled","Disabled"
"Distributor was saved","Distributor was saved"
"Distributor was successfully deleted.","Distributor was successfully deleted."
"Distributor was successfully saved","Distributor was successfully saved"
"Distributor","Distributor"
"Distributors","Distributors"
"Edit Distributor '%s'","Edit Distributor '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving distributor","Error saving distributor"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Please select distributors to delete.","Please select distributors to delete."
"Please select distributors.","Please select distributors."
"Position","Position"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Distributor","Save Distributor"
"Status","Status"
"Store views","Store views"
"Telephone","Telephone"
"The distributors has been deleted.","The distributors has been deleted."
"There was a problem saving the distributor.","There was a problem saving the distributor."
"There was an error deleting distributor.","There was an error deleting distributor."
"There was an error deleting distributors.","There was an error deleting distributors."
"There was an error updating distributors.","There was an error updating distributors."
"This distributor no longer exists.","This distributor no longer exists."
"Total of %d distributors were successfully deleted.","Total of %d distributors were successfully deleted."
"Total of %d distributors were successfully updated.","Total of %d distributors were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find distributor to save.","Unable to find distributor to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"Website","Website"
"XML","XML"
"Yes","Yes"
