"",""
"Action","Action"
"Add AttributeMenu","Add AttributeMenu"
"An error occurred while updating the attributesmenu.","An error occurred while updating the attributesmenu."
"Are you sure?","Are you sure?"
"Attribute","Attribute"
"AttributeMenu was saved","AttributeMenu was saved"
"AttributeMenu was successfully deleted.","AttributeMenu was successfully deleted."
"AttributeMenu was successfully saved","AttributeMenu was successfully saved"
"AttributeMenu","AttributeMenu"
"AttributesMenu","AttributesMenu"
"CSV","CSV"
"Change status","Change status"
"Could not find attributemenu to delete.","Could not find attributemenu to delete."
"Created at","Created at"
"Delete AttributeMenu","Delete AttributeMenu"
"Delete","Delete"
"Disabled","Disabled"
"Edit AttributeMenu '%s'","Edit AttributeMenu '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving attributemenu","Error saving attributemenu"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Please select attributesmenu to delete.","Please select attributesmenu to delete."
"Please select attributesmenu.","Please select attributesmenu."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save AttributeMenu","Save AttributeMenu"
"Status","Status"
"Store views","Store views"
"The attributesmenu has been deleted.","The attributesmenu has been deleted."
"There was a problem saving the attributemenu.","There was a problem saving the attributemenu."
"There was an error deleting attributemenu.","There was an error deleting attributemenu."
"There was an error deleting attributesmenu.","There was an error deleting attributesmenu."
"There was an error updating attributesmenu.","There was an error updating attributesmenu."
"This attributemenu no longer exists.","This attributemenu no longer exists."
"Total of %d attributesmenu were successfully deleted.","Total of %d attributesmenu were successfully deleted."
"Total of %d attributesmenu were successfully updated.","Total of %d attributesmenu were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find attributemenu to save.","Unable to find attributemenu to save."
"Updated at","Updated at"
"Value","Value"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"