"",""
"Action","Action"
"Add Restriction Group","Add Restriction Group"
"An error occurred while updating the restriction groups.","An error occurred while updating the restriction groups."
"Are you sure?","Are you sure?"
"Associated customers","Associated customers"
"Associated products","Associated products"
"Because","Because"
"CSV","CSV"
"Change status","Change status"
"Could not find restriction group to delete.","Could not find restriction group to delete."
"Created at","Created at"
"Delete Restriction Group","Delete Restriction Group"
"Delete","Delete"
"Disabled","Disabled"
"Edit Restriction Group '%s'","Edit Restriction Group '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving restriction group","Error saving restriction group"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Mantenha essa nomenclatura organizada","Mantenha essa nomenclatura organizada"
"Name","Name"
"No","No"
"None","None"
"Please select restriction groups to delete.","Please select restriction groups to delete."
"Please select restriction groups.","Please select restriction groups."
"Por que esse grupo existe? ","Por que esse grupo existe? "
"Position","Position"
"Reset","Reset"
"Restriction Group was saved","Restriction Group was saved"
"Restriction Group was successfully deleted.","Restriction Group was successfully deleted."
"Restriction Group was successfully saved","Restriction Group was successfully saved"
"Restriction Group","Restriction Group"
"Restriction Groups","Restriction Groups"
"Save And Continue Edit","Save And Continue Edit"
"Save Restriction Group","Save Restriction Group"
"Status","Status"
"Store views","Store views"
"The restriction groups has been deleted.","The restriction groups has been deleted."
"There was a problem saving the restriction group.","There was a problem saving the restriction group."
"There was an error deleting restriction group.","There was an error deleting restriction group."
"There was an error deleting restriction groups.","There was an error deleting restriction groups."
"There was an error updating restriction groups.","There was an error updating restriction groups."
"This restriction group no longer exists.","This restriction group no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d restriction groups were successfully deleted.","Total of %d restriction groups were successfully deleted."
"Total of %d restriction groups were successfully updated.","Total of %d restriction groups were successfully updated."
"Unable to find restriction group to save.","Unable to find restriction group to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"Website","Website"
"XML","XML"
"Yes","Yes"