"",""
"Action","Action"
"Add Condition","Add Condition"
"Always >= 1","Always >= 1"
"An error occurred while updating the conditions.","An error occurred while updating the conditions."
"Apply to Groups","Apply to Groups"
"Apply to all costumers","Apply to all costumers"
"Are you sure?","Are you sure?"
"Associated products","Associated products"
"CSV","CSV"
"Change Apply to all costumers","Change Apply to all costumers"
"Change status","Change status"
"Condition was saved","Condition was saved"
"Condition was successfully deleted.","Condition was successfully deleted."
"Condition was successfully saved","Condition was successfully saved"
"Condition","Condition"
"Conditions","Conditions"
"Could not find condition to delete.","Could not find condition to delete."
"Created at","Created at"
"Delete Condition","Delete Condition"
"Delete","Delete"
"Disabled","Disabled"
"Edit Condition '%s'","Edit Condition '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving condition","Error saving condition"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Payment Methods","Payment Methods"
"Please select conditions to delete.","Please select conditions to delete."
"Please select conditions.","Please select conditions."
"Position","Position"
"Price Range Begin","Price Range Begin"
"Price Range End","Price Range End"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Condition","Save Condition"
"Split Range","Split Range"
"Split","Split"
"Start Date","Start Date"
"Status","Status"
"Store views","Store views"
"The conditions has been deleted.","The conditions has been deleted."
"There was a problem saving the condition.","There was a problem saving the condition."
"There was an error deleting condition.","There was an error deleting condition."
"There was an error deleting conditions.","There was an error deleting conditions."
"There was an error updating conditions.","There was an error updating conditions."
"This condition no longer exists.","This condition no longer exists."
"Total of %d conditions were successfully deleted.","Total of %d conditions were successfully deleted."
"Total of %d conditions were successfully updated.","Total of %d conditions were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find condition to save.","Unable to find condition to save."
"Updated at","Updated at"
"Use 0 (Zero) for infinit value","Use 0 (Zero) for infinit value"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"