"",""
"Action","Action"
"Add SalesRule","Add SalesRule"
"An error occurred while updating the salesrules.","An error occurred while updating the salesrules."
"Apply to all customers","Apply to all customers"
"Are you sure?","Are you sure?"
"Associated customers","Associated customers"
"CSV","CSV"
"Change Apply to all customers","Change Apply to all customers"
"Change status","Change status"
"Could not find salesrule to delete.","Could not find salesrule to delete."
"Created at","Created at"
"Delete SalesRule","Delete SalesRule"
"Delete","Delete"
"Disabled","Disabled"
"Edit SalesRule '%s'","Edit SalesRule '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving salesrule","Error saving salesrule"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Please select salesrules to delete.","Please select salesrules to delete."
"Please select salesrules.","Please select salesrules."
"Position","Position"
"Reset","Reset"
"Rule Type","Rule Type"
"SalesRule was saved","SalesRule was saved"
"SalesRule was successfully deleted.","SalesRule was successfully deleted."
"SalesRule was successfully saved","SalesRule was successfully saved"
"SalesRule","SalesRule"
"SalesRules","SalesRules"
"Save And Continue Edit","Save And Continue Edit"
"Save SalesRule","Save SalesRule"
"Status","Status"
"Store views","Store views"
"The salesrules has been deleted.","The salesrules has been deleted."
"There was a problem saving the salesrule.","There was a problem saving the salesrule."
"There was an error deleting salesrule.","There was an error deleting salesrule."
"There was an error deleting salesrules.","There was an error deleting salesrules."
"There was an error updating salesrules.","There was an error updating salesrules."
"This salesrule no longer exists.","This salesrule no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d salesrules were successfully deleted.","Total of %d salesrules were successfully deleted."
"Total of %d salesrules were successfully updated.","Total of %d salesrules were successfully updated."
"Unable to find salesrule to save.","Unable to find salesrule to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"