"",""
"Action","Action"
"Add Sales Rep","Add Sales Rep"
"An error occurred while updating the sales representatives.","An error occurred while updating the sales representatives."
"Are you sure?","Are you sure?"
"Associated categories","Associated categories"
"CSV","CSV"
"Change status","Change status"
"Could not find sales rep to delete.","Could not find sales rep to delete."
"Created at","Created at"
"Delete Sales Rep","Delete Sales Rep"
"Delete","Delete"
"Disabled","Disabled"
"Edit Sales Rep '%s'","Edit Sales Rep '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving sales rep","Error saving sales rep"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Please select sales representatives to delete.","Please select sales representatives to delete."
"Please select sales representatives.","Please select sales representatives."
"Reset","Reset"
"Sales Rep was saved","Sales Rep was saved"
"Sales Rep was successfully deleted.","Sales Rep was successfully deleted."
"Sales Rep was successfully saved","Sales Rep was successfully saved"
"Sales Rep","Sales Rep"
"Sales Representatives","Sales Representatives"
"Save And Continue Edit","Save And Continue Edit"
"Save Sales Rep","Save Sales Rep"
"Status","Status"
"Store views","Store views"
"The sales representatives has been deleted.","The sales representatives has been deleted."
"There was a problem saving the sales rep.","There was a problem saving the sales rep."
"There was an error deleting sales rep.","There was an error deleting sales rep."
"There was an error deleting sales representatives.","There was an error deleting sales representatives."
"There was an error updating sales representatives.","There was an error updating sales representatives."
"This sales rep no longer exists.","This sales rep no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d sales representatives were successfully deleted.","Total of %d sales representatives were successfully deleted."
"Total of %d sales representatives were successfully updated.","Total of %d sales representatives were successfully updated."
"Unable to find sales rep to save.","Unable to find sales rep to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"