"",""
"Action","Action"
"Add Table Price","Add Table Price"
"An error occurred while updating the tables prices.","An error occurred while updating the tables prices."
"Are you sure?","Are you sure?"
"Associated categories","Associated categories"
"CSV","CSV"
"Change status","Change status"
"Costumer Group ID","Costumer Group ID"
"Could not find table price to delete.","Could not find table price to delete."
"Created at","Created at"
"Delete Table Price","Delete Table Price"
"Delete","Delete"
"Disabled","Disabled"
"Edit Table Price '%s'","Edit Table Price '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving table price","Error saving table price"
"Excel","Excel"
"Home","Home"
"ID ERP","ID ERP"
"Id","Id"
"Name","Name"
"No","No"
"None","None"
"Please select tables prices to delete.","Please select tables prices to delete."
"Please select tables prices.","Please select tables prices."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Table Price","Save Table Price"
"Status","Status"
"Store views","Store views"
"Table Price was saved","Table Price was saved"
"Table Price was successfully deleted.","Table Price was successfully deleted."
"Table Price was successfully saved","Table Price was successfully saved"
"Table Price","Table Price"
"Tables Prices","Tables Prices"
"The tables prices has been deleted.","The tables prices has been deleted."
"There was a problem saving the table price.","There was a problem saving the table price."
"There was an error deleting table price.","There was an error deleting table price."
"There was an error deleting tables prices.","There was an error deleting tables prices."
"There was an error updating tables prices.","There was an error updating tables prices."
"This table price no longer exists.","This table price no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d tables prices were successfully deleted.","Total of %d tables prices were successfully deleted."
"Total of %d tables prices were successfully updated.","Total of %d tables prices were successfully updated."
"Unable to find table price to save.","Unable to find table price to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"Website","Website"
"XML","XML"
"Yes","Yes"