"",""
"Action","Ação"
"Add Restriction Group","Adicionar Grupo de Restrição"
"An error occurred while updating the restriction groups.","Um erro ocorreu na atualização dos grupos de restrição."
"Are you sure?","Tem certeza?"
"Associated customers","Clientes associados"
"Associated products","Produtos associados"
"Because","Por que esse grupo existe?"
"CSV","CSV"
"Change status","Mudar status"
"Could not find restriction group to delete.","Não foi encontrado o grupo para excluir."
"Created at","Criado em"
"Delete Restriction Group","Excluir grupo"
"Delete","Excluir"
"Disabled","Desabilitado"
"Edit Restriction Group '%s'","Editar grupo '%s'"
"Edit","Editar"
"Enabled","Habilitado"
"Error saving restriction group","Erro ao salvar o grupo"
"Excel","Excel"
"Home","Início"
"Id","Id"
"Mantenha essa nomenclatura organizada","Mantenha essa nomenclatura organizada"
"Name","Nome"
"No","Não"
"None","Nenhum"
"Please select restriction groups to delete.","Por favor, selecione os grupos para exclusão."
"Please select restriction groups.","Por favor, selecione os grupos."
"Por que esse grupo existe? ","Por que esse grupo existe? "
"Position","Posição"
"Reset","Reiniciar"
"Restriction Group was saved","O grupo foi salvo"
"Restriction Group was successfully deleted.","O grupo foi excluído."
"Restriction Group was successfully saved","O grupo foi salvo"
"Restriction Group","Grupo de Restrição"
"Restriction Groups","Grupos de Restrição"
"Save And Continue Edit","Salvar e continuar editando"
"Save Restriction Group","Salvar grupo"
"Status","Status"
"Store views","Grupos de acesso"
"The restriction groups has been deleted.","Os grupos foram excluídos."
"There was a problem saving the restriction group.","Houve um problema ao salvar o grupo."
"There was an error deleting restriction group.","Houve um problema ao excluir o grupo."
"There was an error deleting restriction groups.","Houve um problema ao excluir os grupos."
"There was an error updating restriction groups.","Houve um problema ao atualizar os grupos."
"This restriction group no longer exists.","Este grupo não existe mais."
"Total of %d record(s) have been deleted.","Total de %d grupo(s) foram excluídos."
"Total of %d record(s) have been updated.","Total de %d grupo(s) foram atualizados."
"Total of %d restriction groups were successfully deleted.","Total de %d grupos excluídos corretamente."
"Total of %d restriction groups were successfully updated.","Total de %d grupos atualizados corretamente."
"Unable to find restriction group to save.","Incapaz de encontrar o grupo para salvar."
"Updated at","Atualizado em"
"Use Breadcrumbs","Usar Breadcrumbs"
"WYSIWYG Editor","Editor WYSIWYG"
"Website","Website"
"XML","XML"
"Yes","Sim"
