"",""
"Action","Ação"
"Add Condition","Adicionar Condição"
"Add % to the products price","Add % ao preço do produto"
"Add this value to","Adicionar esse valor no"
"Always >= 1","Sempre >= 1"
"An error occurred while updating the conditions.","Um erro ocorreu ao tentar atualizar a condição."
"Apply to Groups","Aplicar aos grupos de clientes"
"Apply to all costumers","Aplicar a todos os clientes"
"Are you sure?","Tem certeza disto?"
"Associated customers","Clientes associados"
"Catalog","Catálogo"
"CSV","CSV"
"Change Apply to all costumers","Mudar, aplicar a todos os clientes"
"Change status","Mudar estatus"
"Condition was saved","A condição foi salva"
"Condition was successfully deleted.","A condição foi excluída."
"Condition was successfully saved","A condição foi salva"
"Condition","Condição"
"Conditions","Condições"
"Could not find condition to delete.","Não foi encontrada uma condição para excluir."
"Created at","Criado em"
"Delete Condition","Excluir condição"
"Delete","Excluir"
"Disabled","Desabilitado"
"Edit Condition '%s'","Editar condição '%s'"
"Edit","Editar"
"Enabled","Habilitado"
"Error saving condition","Erro ao salvar a condição"
"Excel","Excel"
"General Settings","Geral"
"Home","Inicial"
"Id","Id"
"Name","Nome"
"No","Não"
"None","nenhum"
"Payment Methods","Métodos de pagamento"
"Please select conditions to delete.","Por favor, selecione as condições para exclusão."
"Please select conditions.","Por favor, selecione as condições."
"Position","Posição"
"Price Range Begin","De quanto"
"Price Range End","Até quanto"
"Save And Continue Edit","Salvar e continuar editando"
"Split Range","Dias entre as parcelas"
"Split","Parcelas"
"Days to start","Dia do primeiro vencimento"
"Status","Status"
"Store views","Grupos de acesso"
"The conditions has been deleted.","A condiçao foi excluida."
"There was a problem saving the condition.","Houve um problema ao salvar a condição."
"There was an error deleting condition.","Houve um problema ao excluir a condição."
"There was an error deleting conditions.","Houve um problema ao excluir as condições."
"There was an error updating conditions.","Houve um problema ao atualizar as condições."
"This condition no longer exists.","A condição não existe mais."
"Total of %d conditions were successfully deleted.","%d condições foram excluídas."
"Total of %d conditions were successfully updated.","%d condições foram atualizadas."
"Total of %d record(s) have been deleted.","%d registro(s) excluído(s)."
"Total of %d record(s) have been updated.","%d registro(s) atualizado(s)."
"Unable to find condition to save.","Não foi encontrada uma condição para salvar."
"Updated at","Atualizado em"
"Use 0 (Zero) for infinit value","Use 0 (Zero) para um valor infinito"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","Editor de texto"
"XML","XML"
"Yes","Sim"
