"",""
"Action","Ação"
"Add Table Price","Adicionar tabela de preço"
"An error occurred while updating the tables prices.","Um erro ocorreu ao atualizar as tabelas de preços."
"Are you sure?","Tem realmente certeza? Realmente?"
"Associated categories","Marcas associadas"
"CSV","CSV"
"Change status","Mudar status"
"Customer Group ID","Grupo de usuário"
"Could not find table price to delete.","Tabela não encontrada para exclusão."
"Created at","Criado em"
"Delete Table Price","Excluir tabela de preço"
"Delete","Excluir"
"Disabled","Desabilitar"
"Discount (%)","Desconto (%)"
"Edit Table Price '%s'","Editar tabela de preço '%s'"
"Edit","Editar"
"Enabled","Habilitado"
"Error saving table price","Erro ao salvar a tabela de preço"
"Excel","Excel"
"Home","inicial"
"ID ERP","ID ERP"
"Id","Id"
"Name","Nome"
"No","Não"
"None","Nenhum"
"Please select tables prices to delete.","Por favor, selecione as tabelas para excluir."
"Please select tables prices.","Por favor, selecione as tabelas."
"Reset","Reiniciar"
"Save And Continue Edit","Salvar e continuar editando"
"Save Table Price","Salvar a tabela"
"Show only groups with checked option 'Has multiple table'","Mostra somente grupos com a opção 'Tem múltiplas tabelas' selecionada."
"Status","Status"
"Store views","Grupos de acesso"
"Table discount","Desconto de tabela"
"Table Price was saved","A tabela foi salva"
"Table Price was successfully deleted.","A tabela foi excluída."
"Table Price was successfully saved","A tabela foi salva"
"Table Price","Tabela de preço"
"Tables Prices","Tabelas de preço"
"The tables prices has been deleted.","As tabelas foram excluídas."
"There was a problem saving the table price.","Houve um problema ao salvar a tabela."
"There was an error deleting table price.","Houve um erro ao excluir a tabela."
"There was an error deleting tables prices.","Houve um erro ao exlcluir as tabelas."
"There was an error updating tables prices.","Houve um erro ao atualizar as tabelas."
"This table price no longer exists.","Essa tabela não existe mais."
"Total of %d record(s) have been deleted.","Total de %d registro(s) excluídos."
"Total of %d record(s) have been updated.","Total de %d registro(s) atualizados."
"Total of %d tables prices were successfully deleted.","Total de %d tabelas foram excluídas."
"Total of %d tables prices were successfully updated.","Total de %d tabelas foram atualizadas."
"Unable to find table price to save.","Tabela não encontrada."
"Updated at","Atualizado em"
"WYSIWYG Editor","WYSIWYG Editor"
"Website","Website"
"XML","XML"
"Yes","Sim"
