"Products Bought Together Manager","Products Bought Together Manager"
"Reindex Data","Reindex Data"
"Products Bought by Same Customer Manager","Products Bought by Same Customer Manager"
"ID","ID"
"Product Name","Product Name"
"Related Product Name","Related Product Name"
"Weight","Weight"
"Is Admin","Is Admin"
"Save Item","Save Item"
"Delete Item","Delete Item"
"Edit Item","Edit Item"
"Add Item","Add Item"
"Edit Information","Edit Information"
"Frequently bought together","Compre junto"
"Customers Who Bought This Item Also Bought","Compre também:"
"Customers who bought this product also commonly purchased the following combination of items.","Clientes que compram este produto, normalmente também têm esses produtos no carrinho:"
"Order Manager","Order Manager"
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Please select items.","Please select items."
"Item was successfully saved","Item was successfully saved"
"%d order(s) reindexed","%d order(s) reindexed"
"%d order(s) was successfully reindexed","%d order(s) was successfully reindexed"
"Customer Manager","Customer Manager"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"%d customer(s) reindexed","%d customer(s) reindexed"
"%d customer(s) was successfully reindexed","%d customer(s) was successfully reindexed"
"Sold Together","Sold Together"
"Frequently Bought Together","Compre Junto"
"Bought Together Pro","Bought Together Pro"
"Sold Together Pro","Sold Together Pro"
"Enabled","Enabled"
"Enabled Sold Together Pro","Enabled Sold Together Pro"
"Count Products to Display","Count Products to Display"
"Count Columns to Display","Count Columns to Display"
"Show add to cart checkboxes","Show add to cart checkboxes"
"Customer Bought Together","Customer Bought Together"
"unselect all","unselect all"
"select all","select all"
"Enabled Amazone Style","Enabled Amazone Style"
"Add All to Cart","Add All to Cart"
"Total Price","Preço Total"
"This Product is Frequently Bought With","Este produto é frequentemente comprado com"
"Add this product to the cart too","Add this product to the cart too"
"This Item","Este Produto"
"Add to Wishlist","Adicionar à lista de desejos"
"Add to Compare","Adicionar à comparação"
"Add to Cart","Add ao carrinho"
