ABASE ON-LINE|ZOETIS|ZOETIS ÉTICOS|CÓDIGO
NÃO|NÃO|NÃO|5648
SIM|SIM|SIM|731
NÃO|NÃO|NÃO|7406
NÃO|NÃO|NÃO|6497
NÃO|NÃO|NÃO|921
NÃO|NÃO|NÃO|136
NÃO|NÃO|NÃO|137
SIM|SIM|SIM|9232
SIM|SIM|SIM|729
SIM|SIM|NÃO|8758
SIM|SIM|SIM|8206
NÃO|NÃO|NÃO|7640
NÃO|NÃO|NÃO|8437
SIM|SIM|SIM|2442
NÃO|NÃO|NÃO|4961
SIM|SIM|SIM|7868
NÃO|NÃO|NÃO|5868
SIM|SIM|NÃO|3131
SIM|SIM|SIM|1127
SIM|SIM|NÃO|520
NÃO|NÃO|NÃO|8891
SIM|SIM|NÃO|7793
SIM|SIM|SIM|80
SIM|SIM|SIM|8186
SIM|SIM|NÃO|5666
SIM|SIM|NÃO|8073
SIM|SIM|NÃO|8930
SIM|SIM|NÃO|6590
SIM|SIM|NÃO|8713
SIM|SIM|NÃO|4545
SIM|SIM|NÃO|1565
SIM|SIM|SIM|8207
SIM|SIM|SIM|5584
SIM|SIM|SIM|8733
SIM|SIM|SIM|5867
SIM|SIM|NÃO|4656
NÃO|NÃO|NÃO|9490
SIM|SIM|SIM|1900
SIM|SIM|SIM|4712
NÃO|NÃO|NÃO|6400
SIM|SIM|NÃO|725
SIM|SIM|NÃO|8701
NÃO|NÃO|NÃO|7862
SIM|SIM|NÃO|5756
SIM|SIM|SIM|3810
SIM|SIM|NÃO|7688
SIM|SIM|NÃO|1762
SIM|SIM|SIM|4442
NÃO|NÃO|NÃO|567
SIM|SIM|SIM|5133
NÃO|NÃO|NÃO|9254
NÃO|NÃO|NÃO|2270
NÃO|NÃO|NÃO|9489
SIM|SIM|SIM|2567
NÃO|NÃO|NÃO|2223
SIM|SIM|SIM|6154
SIM|SIM|SIM|1980
SIM|SIM|SIM|5344
NÃO|NÃO|NÃO|2106
SIM|SIM|NÃO|6636
SIM|SIM|SIM|1563
NÃO|NÃO|NÃO|405
NÃO|NÃO|NÃO|8308
NÃO|NÃO|NÃO|2438
SIM|SIM|SIM|3056
SIM|SIM|SIM|4324
SIM|SIM|NÃO|708
SIM|SIM|SIM|5397
SIM|SIM|NÃO|8010
SIM|SIM|SIM|4214
SIM|SIM|SIM|8262
NÃO|NÃO|NÃO|4194
NÃO|NÃO|NÃO|1953
SIM|SIM|SIM|6386
SIM|SIM|NÃO|2554
SIM|SIM|NÃO|2433
SIM|SIM|SIM|5170
SIM|SIM|SIM|236
NÃO|NÃO|NÃO|3133
NÃO|NÃO|NÃO|5199
SIM|SIM|NÃO|5825
NÃO|NÃO|NÃO|2281
NÃO|NÃO|NÃO|6486
SIM|SIM|NÃO|3605
SIM|SIM|NÃO|805
NÃO|NÃO|NÃO|7522
SIM|SIM|NÃO|8075
SIM|SIM|NÃO|9167
SIM|SIM|SIM|5029
NÃO|NÃO|NÃO|8737
SIM|SIM|SIM|3126
NÃO|NÃO|NÃO|7994
NÃO|NÃO|NÃO|7401
NÃO|NÃO|NÃO|1470
SIM|SIM|NÃO|5758
NÃO|NÃO|NÃO|7912
SIM|SIM|NÃO|7936
SIM|SIM|SIM|5308
NÃO|NÃO|NÃO|6206
SIM|SIM|SIM|5889
SIM|SIM|SIM|1147
SIM|SIM|SIM|8315
SIM|SIM|SIM|8691
SIM|SIM|SIM|8659
SIM|SIM|SIM|9266
NÃO|NÃO|NÃO|6514
NÃO|NÃO|NÃO|4754
SIM|SIM|NÃO|2647
NÃO|NÃO|NÃO|5527
NÃO|NÃO|NÃO|2985
NÃO|NÃO|NÃO|2256
SIM|SIM|NÃO|3352
NÃO|NÃO|NÃO|5708
SIM|SIM|NÃO|7419
SIM|SIM|NÃO|5553
SIM|SIM|NÃO|625
NÃO|NÃO|NÃO|5677
NÃO|NÃO|NÃO|2389
NÃO|NÃO|NÃO|4423
SIM|SIM|NÃO|6114
SIM|SIM|NÃO|9918
SIM|SIM|NÃO|8943
SIM|SIM|NÃO|9453
SIM|SIM|NÃO|443
SIM|SIM|SIM|8610
SIM|SIM|NÃO|726
SIM|SIM|NÃO|2146
NÃO|NÃO|NÃO|6524
SIM|SIM|SIM|3030
SIM|SIM|NÃO|6949
SIM|SIM|SIM|3546
SIM|SIM|NÃO|2957
NÃO|NÃO|NÃO|6995
SIM|SIM|SIM|8282
SIM|SIM|NÃO|7148
SIM|SIM|NÃO|4051
SIM|SIM|NÃO|6943
SIM|SIM|NÃO|6992
SIM|SIM|NÃO|8190
SIM|SIM|NÃO|2580
SIM|SIM|NÃO|3272
SIM|SIM|SIM|7141
SIM|SIM|SIM|2437
SIM|SIM|SIM|7638
SIM|SIM|SIM|9213
SIM|SIM|NÃO|6493
SIM|SIM|NÃO|7227
SIM|SIM|NÃO|5775
SIM|SIM|NÃO|1488
NÃO|NÃO|NÃO|7618
SIM|SIM|SIM|7521
SIM|SIM|SIM|8962
SIM|SIM|SIM|6117
SIM|SIM|NÃO|7104
SIM|SIM|SIM|7008
SIM|NÃO|NÃO|9218
SIM|SIM|SIM|6957
SIM|SIM|NÃO|8786
SIM|SIM|NÃO|7846
SIM|SIM|SIM|6757
SIM|SIM|NÃO|5577
SIM|SIM|NÃO|1573
SIM|SIM|SIM|6195
SIM|SIM|NÃO|6518
SIM|SIM|NÃO|8317
SIM|SIM|SIM|5806
SIM|SIM|NÃO|765
SIM|SIM|NÃO|9349
SIM|SIM|NÃO|3447
SIM|SIM|SIM|5945
SIM|SIM|SIM|6011
SIM|SIM|NÃO|7204
SIM|SIM|NÃO|5651
SIM|SIM|NÃO|7040
SIM|SIM|SIM|8392
SIM|SIM|SIM|6652
SIM|SIM|SIM|6994
SIM|SIM|NÃO|6960
SIM|SIM|NÃO|7041
SIM|SIM|NÃO|739
SIM|SIM|SIM|7178
SIM|SIM|NÃO|7167
SIM|SIM|SIM|2955
NÃO|NÃO|NÃO|5618
SIM|SIM|NÃO|784
SIM|SIM|SIM|7314
SIM|SIM|SIM|838
SIM|SIM|SIM|2376
SIM|SIM|NÃO|8885
SIM|SIM|SIM|4337
SIM|SIM|SIM|2794
SIM|SIM|NÃO|8104
SIM|SIM|NÃO|8784
SIM|SIM|NÃO|703
SIM|SIM|NÃO|183
SIM|SIM|NÃO|8845
SIM|SIM|NÃO|6975
SIM|SIM|SIM|7327
SIM|SIM|SIM|2074
SIM|SIM|NÃO|7552
SIM|SIM|NÃO|3318
SIM|SIM|NÃO|7698
NÃO|NÃO|NÃO|923
SIM|SIM|SIM|4066
SIM|SIM|NÃO|287
SIM|SIM|NÃO|709
SIM|SIM|NÃO|4777
SIM|SIM|SIM|2983
SIM|SIM|SIM|9243
SIM|SIM|NÃO|1484
SIM|SIM|NÃO|6948
SIM|SIM|NÃO|8840
SIM|SIM|SIM|7501
SIM|SIM|NÃO|7586
SIM|SIM|NÃO|7082
SIM|NÃO|NÃO|8241
SIM|SIM|NÃO|7554
SIM|SIM|SIM|986
SIM|NÃO|NÃO|9353
SIM|SIM|NÃO|6194
SIM|SIM|SIM|7383
SIM|SIM|SIM|4503
SIM|SIM|NÃO|1361
SIM|NÃO|NÃO|9217
SIM|SIM|NÃO|7225
SIM|SIM|NÃO|6803
SIM|SIM|SIM|7605
SIM|SIM|SIM|3224
SIM|SIM|SIM|7382
SIM|SIM|SIM|7916
SIM|SIM|NÃO|9915
SIM|SIM|NÃO|7259
SIM|SIM|NÃO|6909
SIM|SIM|NÃO|8580
SIM|SIM|NÃO|8717
SIM|SIM|SIM|7036
SIM|SIM|NÃO|6771
SIM|SIM|NÃO|6255
SIM|NÃO|NÃO|3628
SIM|SIM|SIM|7012
SIM|SIM|NÃO|983
SIM|SIM|SIM|7200
SIM|SIM|SIM|6973
SIM|SIM|SIM|2441
SIM|SIM|SIM|8326
SIM|SIM|SIM|6569
NÃO|NÃO|NÃO|6647
SIM|SIM|NÃO|3762
SIM|SIM|SIM|5667
SIM|SIM|SIM|4431
NÃO|NÃO|NÃO|6531
SIM|SIM|SIM|7073
SIM|SIM|NÃO|8584
SIM|SIM|SIM|3564
SIM|SIM|NÃO|3563
SIM|SIM|NÃO|4887
SIM|SIM|NÃO|5878
SIM|SIM|NÃO|7671
SIM|SIM|SIM|6305
SIM|SIM|NÃO|9123
SIM|SIM|SIM|4846
SIM|SIM|SIM|7266
SIM|SIM|SIM|6940
SIM|NÃO|NÃO|1408
SIM|SIM|NÃO|1303
SIM|SIM|NÃO|2050
SIM|SIM|SIM|7071
SIM|SIM|NÃO|7039
SIM|SIM|SIM|7101
SIM|SIM|NÃO|9916
SIM|NÃO|NÃO|6300
SIM|NÃO|NÃO|9216
SIM|SIM|NÃO|1555
SIM|SIM|NÃO|6547
SIM|SIM|NÃO|6224
SIM|SIM|NÃO|6693
SIM|SIM|NÃO|1434
SIM|SIM|SIM|7791
SIM|SIM|NÃO|4195
SIM|SIM|NÃO|7254
SIM|SIM|NÃO|6941
SIM|SIM|SIM|3305
SIM|SIM|NÃO|9507
SIM|SIM|NÃO|6557
SIM|SIM|NÃO|7317
SIM|SIM|NÃO|7697
SIM|SIM|NÃO|5895
SIM|SIM|SIM|7181
SIM|SIM|NÃO|8572
SIM|SIM|NÃO|6959
SIM|SIM|NÃO|6453
SIM|SIM|SIM|7661
SIM|SIM|SIM|4645
SIM|SIM|NÃO|6162
SIM|SIM|SIM|6088
SIM|SIM|NÃO|2348
NÃO|NÃO|NÃO|6061
SIM|SIM|SIM|1790
SIM|SIM|SIM|5261
SIM|SIM|SIM|6172
SIM|SIM|NÃO|4483
SIM|SIM|NÃO|118
SIM|SIM|SIM|5171
SIM|SIM|NÃO|1176
SIM|NÃO|NÃO|2757
SIM|SIM|NÃO|6979
SIM|NÃO|NÃO|2018
SIM|SIM|NÃO|7230
SIM|SIM|SIM|7231
SIM|SIM|NÃO|7015
SIM|SIM|SIM|5800
SIM|SIM|NÃO|1359
SIM|SIM|SIM|605
NÃO|NÃO|NÃO|1480
SIM|SIM|SIM|9097
SIM|SIM|SIM|4544
SIM|SIM|SIM|6942
SIM|SIM|SIM|5719
SIM|SIM|NÃO|6898
SIM|SIM|NÃO|3850
SIM|SIM|NÃO|7766
SIM|SIM|NÃO|7062
SIM|SIM|NÃO|6329
SIM|SIM|NÃO|7089
SIM|SIM|SIM|4045
SIM|SIM|SIM|6974
SIM|SIM|SIM|5169
SIM|SIM|NÃO|1305
SIM|SIM|NÃO|264
SIM|SIM|NÃO|6027
SIM|SIM|SIM|5073
SIM|SIM|NÃO|6996
SIM|SIM|NÃO|6971
SIM|SIM|NÃO|7432
SIM|NÃO|NÃO|8666
SIM|SIM|SIM|7350
SIM|SIM|NÃO|3701
SIM|SIM|NÃO|5292
SIM|SIM|NÃO|1921
NÃO|NÃO|NÃO|5295
SIM|SIM|SIM|5726
SIM|SIM|NÃO|6142
SIM|SIM|NÃO|6200
SIM|SIM|NÃO|7246
NÃO|NÃO|NÃO|2666
NÃO|NÃO|NÃO|1695
SIM|SIM|NÃO|6837
SIM|SIM|NÃO|8031
NÃO|NÃO|NÃO|9908
SIM|SIM|NÃO|3511
SIM|SIM|SIM|5709
SIM|SIM|NÃO|6883
SIM|SIM|SIM|8823
NÃO|NÃO|NÃO|8665
SIM|SIM|SIM|9007
SIM|SIM|NÃO|4120
