ABASE ON-LINE|ZOETIS|ZOETIS ÉTICOS|BAYER|CÓDIGO
NÃO|NÃO|NÃO|NÃO|5648
SIM|SIM|SIM|SIM|9350
SIM|SIM|SIM|SIM|731
NÃO|NÃO|NÃO|NÃO|7406
NÃO|NÃO|NÃO|NÃO|6497
NÃO|NÃO|NÃO|NÃO|921
NÃO|NÃO|NÃO|NÃO|136
NÃO|NÃO|NÃO|NÃO|137
SIM|SIM|SIM|SIM|9232
SIM|SIM|SIM|SIM|729
SIM|SIM|NÃO|SIM|8758
SIM|SIM|SIM|SIM|8206
NÃO|NÃO|NÃO|NÃO|7640
NÃO|NÃO|NÃO|NÃO|8437
SIM|SIM|SIM|SIM|2442
NÃO|NÃO|NÃO|NÃO|4961
SIM|SIM|SIM|SIM|7868
NÃO|NÃO|NÃO|NÃO|5868
SIM|SIM|NÃO|SIM|3131
SIM|SIM|SIM|SIM|1127
SIM|SIM|NÃO|SIM|520
NÃO|NÃO|NÃO|NÃO|8891
SIM|SIM|NÃO|SIM|7793
SIM|SIM|SIM|SIM|80
SIM|SIM|SIM|SIM|8186
SIM|SIM|NÃO|SIM|5666
SIM|SIM|NÃO|SIM|8073
SIM|SIM|NÃO|SIM|8930
SIM|SIM|NÃO|SIM|6590
SIM|SIM|NÃO|SIM|8713
SIM|SIM|NÃO|SIM|4545
SIM|SIM|NÃO|SIM|1565
SIM|SIM|SIM|SIM|8207
SIM|SIM|SIM|SIM|5584
SIM|SIM|SIM|SIM|8733
SIM|SIM|SIM|SIM|5867
SIM|SIM|NÃO|SIM|4656
NÃO|NÃO|NÃO|NÃO|9490
SIM|SIM|SIM|SIM|1900
SIM|SIM|SIM|SIM|4712
NÃO|NÃO|NÃO|NÃO|6400
SIM|SIM|NÃO|SIM|725
SIM|SIM|NÃO|SIM|8701
NÃO|NÃO|NÃO|NÃO|7862
SIM|SIM|NÃO|SIM|5756
SIM|SIM|SIM|SIM|3810
SIM|SIM|NÃO|SIM|7688
SIM|SIM|NÃO|SIM|1762
SIM|SIM|SIM|SIM|4442
NÃO|NÃO|NÃO|NÃO|567
SIM|SIM|SIM|SIM|5133
NÃO|NÃO|NÃO|NÃO|9254
NÃO|NÃO|NÃO|NÃO|2270
NÃO|NÃO|NÃO|NÃO|9489
SIM|SIM|SIM|SIM|2567
NÃO|NÃO|NÃO|NÃO|2223
SIM|SIM|SIM|SIM|6154
SIM|SIM|SIM|SIM|1980
SIM|SIM|SIM|SIM|5344
NÃO|NÃO|NÃO|NÃO|2106
SIM|SIM|NÃO|SIM|6636
SIM|SIM|SIM|SIM|1563
NÃO|NÃO|NÃO|NÃO|405
NÃO|NÃO|NÃO|NÃO|8308
NÃO|NÃO|NÃO|NÃO|2438
SIM|SIM|SIM|SIM|3056
SIM|SIM|SIM|SIM|4324
SIM|SIM|NÃO|SIM|708
SIM|SIM|SIM|SIM|5397
SIM|SIM|NÃO|SIM|8010
SIM|SIM|SIM|SIM|4214
SIM|SIM|SIM|SIM|8262
