status_allin|id_erp|grupo_restricao
0|1000006|[abase-restric-o-de-vacinas]
0||
0||
1|2638|[abase-restric-o-de-vacinas]
0|1090|[abase-restric-o-de-vacinas]
0|1000007|[abase-restric-o-de-vacinas]
1|1000008|
1|1000009|[abase-restric-o-de-vacinas]
0|2419|[abase-restric-o-de-vacinas]
1|1000011|
0|3501|[abase-restric-o-de-vacinas]
1|1000012|[abase-restric-o-de-vacinas]
1|3950|
0|4079|[abase-restric-o-de-vacinas]
0|4080|[abase-restric-o-de-vacinas]
0|1000013|[abase-restric-o-de-vacinas]
1|1000014|[abase-restric-o-de-vacinas]
1|1000015|[abase-restric-o-de-vacinas]
1|1000016|[abase-restric-o-de-vacinas]
1|1000018|[abase-restric-o-de-vacinas]
0|2692|[abase-restric-o-de-vacinas]
1|7421|[abase-restric-o-de-vacinas]
0|1000020|[abase-restric-o-de-vacinas]
1|1000021|[abase-restric-o-de-vacinas]
1|1000022|
1|24|
0|9908|[abase-restric-o-de-vacinas]
1|724|
1|45|[abase-restric-o-de-vacinas]
1|8880|[abase-restric-o-de-vacinas]
1|80|
1|118|[abase-restric-o-de-vacinas]
1|153|[abase-restric-o-de-vacinas]
1|162|[abase-restric-o-de-vacinas]
1|8875|[abase-restric-o-de-vacinas]
0|5958|[abase-restric-o-de-vacinas]
0|173|[abase-restric-o-de-vacinas]
1|4335|
1|215|
1|263|
1|264|[abase-restric-o-de-vacinas]
1|266|
1|2760|
1|315|[abase-restric-o-de-vacinas]
1|348|
1|351|
1|353|[abase-restric-o-de-vacinas]
1|364|
1|374|
0|376|[abase-restric-o-de-vacinas]
1|380|
1|384|[abase-restric-o-de-vacinas]
1|385|[abase-restric-o-de-vacinas]
0|405|[abase-restric-o-de-vacinas]
1|422|[abase-restric-o-de-vacinas]
1|433|[abase-restric-o-de-vacinas]
0|2348|[abase-restric-o-de-vacinas]
1|462|[abase-restric-o-de-vacinas]
1|464|
1|470|
1|477|
1|479|[abase-restric-o-de-vacinas]
1|484|
1|490|
0|6524|[abase-restric-o-de-vacinas]
1|6608|[abase-restric-o-de-vacinas]
1|509|
1|529|[abase-restric-o-de-vacinas]
1|534|[abase-restric-o-de-vacinas]
1|537|[abase-restric-o-de-vacinas]
0|567|[abase-restric-o-de-vacinas]
1|590|
1|594|[abase-restric-o-de-vacinas]
1|599|[abase-restric-o-de-vacinas]
0|6892|[abase-restric-o-de-vacinas]
1|608|[abase-restric-o-de-vacinas]
1|609|[abase-restric-o-de-vacinas]
0|6104|
1|622|[abase-restric-o-de-vacinas]
1|630|
0|631|[abase-restric-o-de-vacinas]
1|2335|
1|650|
0|661|[abase-restric-o-de-vacinas]
1|9454|[abase-restric-o-de-vacinas]
1|664|[abase-restric-o-de-vacinas]
1|669|[abase-restric-o-de-vacinas]
1|6691|[abase-restric-o-de-vacinas]
1|1937|[abase-restric-o-de-vacinas]
1|684|[abase-restric-o-de-vacinas]
1|685|
1|686|
1|698|[abase-restric-o-de-vacinas]
1|703|[abase-restric-o-de-vacinas]
1|714|[abase-restric-o-de-vacinas]
1|716|
0|5907|[abase-restric-o-de-vacinas]
1|731|
1|742|[abase-restric-o-de-vacinas]
1|745|[abase-restric-o-de-vacinas]
1|754|
1|757|
1|758|[abase-restric-o-de-vacinas]
1|765|[abase-restric-o-de-vacinas]
1|772|[abase-restric-o-de-vacinas]
1|5116|[abase-restric-o-de-vacinas]
1|780|[abase-restric-o-de-vacinas]
1|789|[abase-restric-o-de-vacinas]
1|790|[abase-restric-o-de-vacinas]
1|805|[abase-restric-o-de-vacinas]
1|806|[abase-restric-o-de-vacinas]
1|812|[abase-restric-o-de-vacinas]
0|7497|[abase-restric-o-de-vacinas]
1|840|
1|844|[abase-restric-o-de-vacinas]
1|6823|
0|7118|[abase-restric-o-de-vacinas]
1|8896|[abase-restric-o-de-vacinas]
1|859|
1|861|[abase-restric-o-de-vacinas]
1|874|[abase-restric-o-de-vacinas]
0|4767|[abase-restric-o-de-vacinas]
1|891|
1|892|
1|898|[abase-restric-o-de-vacinas]
0|7360|[abase-restric-o-de-vacinas]
1|919|[abase-restric-o-de-vacinas]
0|924|[abase-restric-o-de-vacinas]
1|940|[abase-restric-o-de-vacinas]
1|965|[abase-restric-o-de-vacinas]
0|970|[abase-restric-o-de-vacinas]
1|971|[abase-restric-o-de-vacinas]
1|973|[abase-restric-o-de-vacinas]
1|979|
1|983|[abase-restric-o-de-vacinas]
1|984|[abase-restric-o-de-vacinas]
1|986|
1|987|[abase-restric-o-de-vacinas]
0|989|[abase-restric-o-de-vacinas]
1|992|[abase-restric-o-de-vacinas]
1|5558|
1|997|[abase-restric-o-de-vacinas]
1|998|[abase-restric-o-de-vacinas]
1|1001|[abase-restric-o-de-vacinas]
1|1003|[abase-restric-o-de-vacinas]
1|1004|
1|1012|[abase-restric-o-de-vacinas]
1|1014|[abase-restric-o-de-vacinas]
1|2075|[abase-restric-o-de-vacinas]
0|2081|[abase-restric-o-de-vacinas]
0|2158|[abase-restric-o-de-vacinas]
0|1055|[abase-restric-o-de-vacinas]
1|996|[abase-restric-o-de-vacinas]
1|1064|[abase-restric-o-de-vacinas]
0|1081|[abase-restric-o-de-vacinas]
1|1084|[abase-restric-o-de-vacinas]
1|1092|[abase-restric-o-de-vacinas]
0|1094|[abase-restric-o-de-vacinas]
1|1687|[abase-restric-o-de-vacinas]
1|1097|[abase-restric-o-de-vacinas]
1|1103|[abase-restric-o-de-vacinas]
1|1131|[abase-restric-o-de-vacinas]
1|1147|
1|7655|
1|1150|
1|1151|[abase-restric-o-de-vacinas]
1|1167|
1|1171|
0|1180|[abase-restric-o-de-vacinas]
1|1183|
1|1191|[abase-restric-o-de-vacinas]
1|1195|[abase-restric-o-de-vacinas]
1|7834|[abase-restric-o-de-vacinas]
1|1213|
