CÓDIGO|GOLDEN CÃES|GOLDEN GATOS|PREMIER
31086|243675|243677|
41243|243674|243676|
33944|243674|243676|
40931|243674|243676|
38357|243674|243676|
39214|243674|243676|
40632|243674|243676|
28645|243675|243677|243679
34312|243675|243677|243679
39830|243675|243677|243679
40882|243675|243677|243679
42005|243675|243677|243679
24446|243674||243678
25089|243674|243676|243678
39518|243674|243676|243678
25349|243674|243676|243678
39797|243674|243676|243678
40358|243674|243676|243678
29875|243674|243676|243678
41851|243674|243676|243678
41633|243674|243676|243678
28652|243674|243676|243678
40426|243674|243676|243678
41227|243674|243676|243678
35180|243674|243676|243678
39915|243674|243676|243678
26917|243674|243676|243678
39136|243674|243676|243678
41854|243674|243676|243678
39423|243674|243676|243678
40635|243674|243676|243678
41810|243674|243676|243678
40906|243674|243676|243678
24634|243674|243676|243678
26222|243674|243676|243678
29763|243674|243676|243678
39996|243674|243676|243678
25090|243674|243676|243678
40113|243674|243676|243678
36882|243674|243676|243678
38713|243674|243676|243678
38463|243674|243676|243678
38491|243674|243676|243678
39241|243674|243676|243678
