Cód Condições|Cliente
3|126
3|132
3|168
3|225
3|316
3|319
3|382
3|397
3|502
3|577
3|618
3|658
3|743
3|834
3|839
3|920
3|1006
3|1013
3|1014
3|1015
3|1051
3|1080
3|1187
3|1193
3|1237
3|1283
3|1445
3|1465
3|1467
3|1508
3|1527
3|1534
3|1544
3|1546
3|1557
3|1582
3|1584
3|1605
3|1608
3|1609
3|1623
3|1642
3|1665
3|1686
3|1721
3|1725
3|1728
3|1735
3|1740
3|1800
3|1883
3|1914
3|1993
3|170
3|220
3|393
3|550
3|588
3|767
3|776
3|881
3|889
3|999
3|1002
3|1061
3|1086
3|1104
3|1112
3|1155
3|1227
3|1285
3|1308
3|1428
3|1568
3|1754
3|1807
3|1811
3|1894
3|1898
3|1900
3|1902
3|1903
3|1918
3|1922
3|1925
3|1932
3|1936
3|1937
3|1946
3|1952
3|1962
3|1970
3|1999
3|2016
3|2019
3|2020
3|2022
3|86
3|88
3|96
3|197
3|204
3|303
3|514
3|556
3|581
3|624
3|648
3|669
3|726
3|736
3|741
3|777
3|797
3|882
3|908
3|949
3|979
3|989
3|1076
3|1203
3|1252
3|1305
3|1339
3|1351
3|1398
3|1484
3|1500
3|1587
3|1622
3|1633
3|1655
3|1668
3|1670
3|1677
3|1705
3|1951
3|1960
3|2011
3|2013
3|2014
156|126
156|132
156|168
156|225
156|316
156|319
156|382
156|397
156|502
156|577
156|618
156|658
156|743
156|834
156|839
156|920
156|1006
156|1013
156|1014
156|1015
156|1051
156|1080
156|1187
156|1193
156|1237
156|1283
156|1445
156|1465
156|1467
156|1508
156|1527
156|1534
156|1544
156|1546
156|1557
156|1582
156|1584
156|1605
156|1608
156|1609
156|1623
156|1642
156|1665
156|1686
156|1721
156|1725
156|1728
156|1735
156|1740
156|1800
156|1883
156|1914
156|1993
156|170
156|220
156|393
156|550
156|588
156|767
156|776
156|881
156|889
156|999
156|1002
156|1061
156|1086
156|1104
156|1112
156|1155
156|1227
156|1285
156|1308
156|1428
156|1568
156|1754
156|1807
156|1811
156|1894
156|1898
156|1900
156|1902
156|1903
156|1918
156|1922
156|1925
156|1932
156|1936
156|1937
156|1946
156|1952
156|1962
156|1970
156|1999
156|2016
156|2019
156|2020
156|2022
156|86
156|88
156|96
156|197
156|204
156|303
156|514
156|556
156|581
156|624
156|648
156|669
156|726
156|736
156|741
156|777
156|797
156|882
156|908
156|949
156|979
156|989
156|1076
156|1203
156|1252
156|1305
156|1339
156|1351
156|1398
156|1484
156|1500
156|1587
156|1622
156|1633
156|1655
156|1668
156|1670
156|1677
156|1705
156|1951
156|1960
156|2011
156|2013
156|2014
157|126
157|132
157|168
157|225
157|316
157|319
157|382
157|397
157|502
157|577
157|618
157|658
157|743
157|834
157|839
157|920
157|1006
157|1013
157|1014
157|1015
157|1051
157|1080
157|1187
157|1193
157|1237
157|1283
157|1445
157|1465
157|1467
157|1508
157|1527
157|1534
157|1544
157|1546
157|1557
157|1582
157|1584
157|1605
157|1608
157|1609
157|1623
157|1642
157|1665
157|1686
157|1721
157|1725
157|1728
157|1735
157|1740
157|1800
157|1883
157|1914
157|1993
157|170
157|220
157|393
157|550
157|588
157|767
157|776
157|881
157|889
157|999
157|1002
157|1061
157|1086
157|1104
157|1112
157|1155
157|1227
157|1285
157|1308
157|1428
157|1568
157|1754
157|1807
157|1811
157|1894
157|1898
157|1900
157|1902
157|1903
157|1918
157|1922
157|1925
157|1932
157|1936
157|1937
157|1946
157|1952
157|1962
157|1970
157|1999
157|2016
157|2019
157|2020
157|2022
157|86
157|88
157|96
157|197
157|204
157|303
157|514
157|556
157|581
157|624
157|648
157|669
157|726
157|736
157|741
157|777
157|797
157|882
157|908
157|949
157|979
157|989
157|1076
157|1203
157|1252
157|1305
157|1339
157|1351
157|1398
157|1484
157|1500
157|1587
157|1622
157|1633
157|1655
157|1668
157|1670
157|1677
157|1705
157|1951
157|1960
157|2011
157|2013
157|2014
155|126
155|132
155|168
155|225
155|316
155|319
155|382
155|397
155|502
155|577
155|618
155|658
155|743
155|834
155|839
155|920
155|1006
155|1013
155|1014
155|1015
155|1051
155|1080
155|1187
155|1193
155|1237
155|1283
155|1445
155|1465
155|1467
155|1508
155|1527
155|1534
155|1544
155|1546
155|1557
155|1582
155|1584
155|1605
155|1608
155|1609
155|1623
155|1642
155|1665
155|1686
155|1721
155|1725
155|1728
155|1735
155|1740
155|1800
155|1883
155|1914
155|1993
155|170
155|220
155|393
155|550
155|588
155|767
155|776
155|881
155|889
155|999
155|1002
155|1061
155|1086
155|1104
155|1112
155|1155
155|1227
155|1285
155|1308
155|1428
155|1568
155|1754
155|1807
155|1811
155|1894
155|1898
155|1900
155|1902
155|1903
155|1918
155|1922
155|1925
155|1932
155|1936
155|1937
155|1946
155|1952
155|1962
155|1970
155|1999
155|2016
155|2019
155|2020
155|2022
155|86
155|88
155|96
155|197
155|204
155|303
155|514
155|556
155|581
155|624
155|648
155|669
155|726
155|736
155|741
155|777
155|797
155|882
155|908
155|949
155|979
155|989
155|1076
155|1203
155|1252
155|1305
155|1339
155|1351
155|1398
155|1484
155|1500
155|1587
155|1622
155|1633
155|1655
155|1668
155|1670
155|1677
155|1705
155|1951
155|1960
155|2011
155|2013
155|2014
3|657
3|964
3|1085
3|1176
3|1394
3|1446
3|1478
3|1481
3|1518
3|1689
3|1726
3|243
3|446
3|991
3|1028
3|1487
3|1769
3|1888
3|1901
3|1905
3|1906
3|1931
3|1945
3|1950
3|1955
3|1982
3|1996
3|508
3|601
3|692
3|728
3|832
3|1158
3|1649
3|1679
3|1752
3|1910
4|657
4|964
4|1085
4|1176
4|1394
4|1446
4|1478
4|1481
4|1518
4|1689
4|1726
4|243
4|446
4|991
4|1028
4|1487
4|1769
4|1888
4|1901
4|1905
4|1906
4|1931
4|1945
4|1950
4|1955
4|1982
4|1996
4|508
4|601
4|692
4|728
4|832
4|1158
4|1649
4|1679
4|1752
4|1910
156|657
156|964
156|1085
156|1176
156|1394
156|1446
156|1478
156|1481
156|1518
156|1689
156|1726
156|243
156|446
156|991
156|1028
156|1487
156|1769
156|1888
156|1901
156|1905
156|1906
156|1931
156|1945
156|1950
156|1955
156|1982
156|1996
156|508
156|601
156|692
156|728
156|832
156|1158
156|1649
156|1679
156|1752
156|1910
157|657
157|964
157|1085
157|1176
157|1394
157|1446
157|1478
157|1481
157|1518
157|1689
157|1726
157|243
157|446
157|991
157|1028
157|1487
157|1769
157|1888
157|1901
157|1905
157|1906
157|1931
157|1945
157|1950
157|1955
157|1982
157|1996
157|508
157|601
157|692
157|728
157|832
157|1158
157|1649
157|1679
157|1752
157|1910
155|657
155|964
155|1085
155|1176
155|1394
155|1446
155|1478
155|1481
155|1518
155|1689
155|1726
155|243
155|446
155|991
155|1028
155|1487
155|1769
155|1888
155|1901
155|1905
155|1906
155|1931
155|1945
155|1950
155|1955
155|1982
155|1996
155|508
155|601
155|692
155|728
155|832
155|1158
155|1649
155|1679
155|1752
155|1910
3|59
3|108
3|186
3|291
3|302
3|589
3|651
3|665
3|705
3|922
3|1008
3|1186
3|1335
3|1533
3|1613
3|1737
3|1244
3|1404
3|119
3|519
3|619
3|656
3|817
3|1392
3|1596
3|1831
4|59
4|108
4|186
4|291
4|302
4|589
4|651
4|665
4|705
4|922
4|1008
4|1186
4|1335
4|1533
4|1613
4|1737
4|1244
4|1404
4|119
4|519
4|619
4|656
4|817
4|1392
4|1596
4|1831
2|59
2|108
2|186
2|291
2|302
2|589
2|651
2|665
2|705
2|922
2|1008
2|1186
2|1335
2|1533
2|1613
2|1737
2|1244
2|1404
2|119
2|519
2|619
2|656
2|817
2|1392
2|1596
2|1831
25|59
25|108
25|186
25|291
25|302
25|589
25|651
25|665
25|705
25|922
25|1008
25|1186
25|1335
25|1533
25|1613
25|1737
25|1244
25|1404
25|119
25|519
25|619
25|656
25|817
25|1392
25|1596
25|1831
14|59
14|108
14|186
14|291
14|302
14|589
14|651
14|665
14|705
14|922
14|1008
14|1186
14|1335
14|1533
14|1613
14|1737
14|1244
14|1404
14|119
14|519
14|619
14|656
14|817
14|1392
14|1596
14|1831
6|59
6|108
6|186
6|291
6|302
6|589
6|651
6|665
6|705
6|922
6|1008
6|1186
6|1335
6|1533
6|1613
6|1737
6|1244
6|1404
6|119
6|519
6|619
6|656
6|817
6|1392
6|1596
6|1831
156|59
156|108
156|186
156|291
156|302
156|589
156|651
156|665
156|705
156|922
156|1008
156|1186
156|1335
156|1533
156|1613
156|1737
156|1244
156|1404
156|119
156|519
156|619
156|656
156|817
156|1392
156|1596
156|1831
157|59
157|108
157|186
157|291
157|302
157|589
157|651
157|665
157|705
157|922
157|1008
157|1186
157|1335
157|1533
157|1613
157|1737
157|1244
157|1404
157|119
157|519
157|619
157|656
157|817
157|1392
157|1596
157|1831
155|59
155|108
155|186
155|291
155|302
155|589
155|651
155|665
155|705
155|922
155|1008
155|1186
155|1335
155|1533
155|1613
155|1737
155|1244
155|1404
155|119
155|519
155|619
155|656
155|817
155|1392
155|1596
155|1831
3|216
3|222
3|289
3|320
3|334
3|408
3|453
3|520
3|838
3|1050
3|1349
3|1379
3|1529
3|146
3|411
3|608
3|645
3|720
3|798
3|905
3|963
3|1123
3|1268
3|1353
3|1653
3|22
3|37
3|71
3|94
3|212
3|232
3|290
3|301
3|327
3|332
3|526
3|607
3|644
3|764
3|807
3|846
3|919
3|1103
3|1516
3|1671
3|1749
4|216
4|222
4|289
4|320
4|334
4|408
4|453
4|520
4|838
4|1050
4|1349
4|1379
4|1529
4|146
4|411
4|608
4|645
4|720
4|798
4|905
4|963
4|1123
4|1268
4|1353
4|1653
4|22
4|37
4|71
4|94
4|212
4|232
4|290
4|301
4|327
4|332
4|526
4|607
4|644
4|764
4|807
4|846
4|919
4|1103
4|1516
4|1671
4|1749
2|216
2|222
2|289
2|320
2|334
2|408
2|453
2|520
2|838
2|1050
2|1349
2|1379
2|1529
2|146
2|411
2|608
2|645
2|720
2|798
2|905
2|963
2|1123
2|1268
2|1353
2|1653
2|22
2|37
2|71
2|94
2|212
2|232
2|290
2|301
2|327
2|332
2|526
2|607
2|644
2|764
2|807
2|846
2|919
2|1103
2|1516
2|1671
2|1749
25|216
25|222
25|289
25|320
25|334
25|408
25|453
25|520
25|838
25|1050
25|1349
25|1379
25|1529
25|146
25|411
25|608
25|645
25|720
25|798
25|905
25|963
25|1123
25|1268
25|1353
25|1653
25|22
25|37
25|71
25|94
25|212
25|232
25|290
25|301
25|327
25|332
25|526
25|607
25|644
25|764
25|807
25|846
25|919
25|1103
25|1516
25|1671
25|1749
14|216
14|222
14|289
14|320
14|334
14|408
14|453
14|520
14|838
14|1050
14|1349
14|1379
14|1529
14|146
14|411
