id_remoto_cliente|id_remoto_representante
100013|11058
100052|11048
100077|11058
100079|11036
100103|11036
100111|11053
100124|11067
100135|11065
100229|11058
100232|11053
100245|11058
100362|11040
100396|11036
100481|11040
100547|11065
100565|11036
100613|11058
100856|11053
100920|11065
101513|11034
101588|11067
101633|11067
101773|11048
101933|11034
102096|11053
102098|11053
102107|11058
102214|11065
102273|11048
102324|11036
102417|11048
102695|11058
102795|11034
102825|11067
102856|11034
102880|11034
102891|11040
102908|11058
102923|11058
102980|11036
102998|11054
103018|11054
103052|11067
103069|11034
103073|11048
103096|11058
103105|11058
103119|11067
103128|11054
103138|11065
103145|11034
103159|11034
103184|11058
103192|11065
103228|11053
103268|11067
103271|11054
103332|11067
103369|11040
103412|11048
103423|11034
103489|13001
103494|11067
103524|11040
103529|11058
103531|11054
103532|11053
103567|11067
103597|11053
103619|11066
103620|11034
103624|11066
103633|11058
103636|11053
103647|11053
103662|11034
103672|11065
103674|11034
103684|11066
103690|11053
103694|11053
103711|11040
103727|11036
103756|11040
103762|11065
103776|11053
103777|11036
103794|11053
103797|11048
103807|11067
103811|11036
103812|11058
103826|11058
103835|11040
103839|11067
103845|11054
103850|11054
103862|11040
103906|11058
103916|11053
103925|11058
103927|11058
103947|11053
103956|11054
103957|11065
103961|11034
103962|11067
103969|11058
103984|11067
103999|11058
104017|11065
104020|11036
104029|11058
104095|11067
104099|11036
104171|11058
104181|11058
104188|11065
104304|13001
104417|11036
104594|11067
104738|11065
104762|11034
104781|11053
104860|11034
104928|11036
104938|11066
104951|11034
104971|11067
104991|11067
105009|11058
105015|11036
105017|11067
105027|11053
105053|11048
105062|11067
105065|11036
105083|11034
105101|11041
105102|11041
105104|11040
105112|11037
105119|11041
105126|11067
105143|11041
105145|11041
105154|11041
105164|11040
105177|11037
105221|11053
105228|11041
105229|11064
105238|11066
105242|11036
105253|11053
105255|11065
105271|11041
105274|11041
105287|11036
105295|11058
105305|11054
105341|11036
105344|11048
105346|11041
105348|11041
105352|11041
105356|11037
105357|11041
105362|11041
105383|11060
105393|11060
105394|11045
105399|11058
105403|11035
105410|11037
105418|11041
105428|11054
105439|11048
105443|11036
105446|11067
105448|11060
105470|11041
105474|11048
105484|11058
105487|11048
105489|11034
105550|11066
105555|11040
105565|11036
105584|11036
105595|11066
105602|11067
105607|11058
105617|11066
105638|11067
105646|11034
105648|11040
105658|11058
105674|11067
105691|11058
105722|11034
105733|11048
105739|11066
105750|11048
105751|11066
105754|11067
105756|11058
105759|11058
105760|11058
105780|11048
105786|11066
105788|11048
105794|11058
105799|11058
105804|11036
105807|11048
105811|11103
105816|11034
105823|11053
105831|11054
105833|11054
105836|11053
105841|11054
105844|11065
105849|11058
105852|11034
105856|11066
105869|11066
105876|11106
105883|11067
105884|11066
105887|11107
105924|11107
105932|11058
105935|11034
105936|11066
105945|11036
105946|11067
105950|11036
105958|11040
105960|11040
105962|11036
105968|11040
105969|11058
105973|11067
105981|11107
105992|11048
105995|11058
105996|11107
106006|11034
106015|11065
106029|11040
106032|11040
106034|11058
106042|11066
106044|11034
106046|11066
106053|11066
106055|11067
106058|11065
106059|11066
106078|11034
106079|11036
106083|11034
107001|11054
107005|11067
107006|11034
107011|11058
107012|11065
107013|11040
107014|11034
107022|11103
107030|11065
107038|11034
107040|11065
107050|11103
107057|11107
107066|11104
107074|11103
107076|11067
107077|11104
107079|11105
107084|11065
107088|11107
107090|11107
107093|11104
108000|11107
108001|11036
108008|11054
108011|11104
108020|11106
108021|11107
108028|11104
108029|11103
108030|11103
108033|11107
108038|11107
108043|11107
108052|11107
108061|11100
108072|11103
108074|11103
108089|11105
108097|11107
109000|11104
109008|11103
109010|11106
109016|11103
109017|11103
109021|11104
109022|11066
109029|11100
109033|11100
109040|11106
