sku,permier_policy_group
PRE10065,387
PRE10165,387
PRE10068,387
PRE10086,387
PRE10066,387
PRE10085,387
PRE10166,387
PRE10046,387
PRE10050,387
PRE10051,387
PRE10048,387
PRE10069,387
PRE10070,387
PRE10080,387
PRE10081,387
PRE10073,387
PRE10078,387
PRE10055,387
PRE10056,387
PRE10045,387
PRE10053,387
PRE10054,387
PRE10167,387
PRE10071,387
PRE10168,387
PRE10195,387
PTR10072,387
PRE10074,387
PRE10079,387
PRE10084,387
PRE10082,387
PRE10060,387
PRE10061,387
PRE10064,387
PRE10058,387
PRE10057,387
PRE10059,387
PRE10062,387
PRE10063,387
PRE10047,387
PRE10049,387
PRE10010,386
PRE10012,385
PRE10014,386
PRE10011,385
PRE10006,386
PRE10007,385
PRE10008,386
PRE10009,386
PRE10013,386
PRE10000,386
PRE10002,385
PRE10004,386
PRE10001,386
PRE10003,385
PRE10005,386
PRE10015,385
PRE10016,386
PRE10018,386
PRE10019,385
PRE10017,386
PRE10101,383
PRE10102,383
PRE10193,383
PRE10194,383
PRE10097,383
PRE10098,383
PRE10099,383
PRE10100,383
PRE10112,383
PRE10113,383
PRE10114,383
PRE10115,383
PRE10116,383
PRE10117,383
PRE10087,383
PRE10105,383
PRE10147,383
PRE10103,383
PRE10104,383
PRE10191,383
PRE10089,383
PRE10092,383
PRE10192,383
PRE10090,383
PRE10196,383
PRE10094,383
PRE10095,383
PRE10197,383
PRE10088,383
PRE10093,383
PRE10198,383
PRE10111,383
PRE10108,383
PRE10091,383
PRE10109,383
PRE10107,383
PRE10036,383
PRE10031,383
PRE10033,383
PRE10027,383
PRE10022,383
PRE10026,383
PRE10024,383
PRE10020,383
PRE10031,383
PRE10021,383
PRE10034,383
PRE10032,383
PRE10030,383
PRE10023,383
PRE10028,383
PRE10044,383
PRE10043,383
PRE10189,383
PRE10199,383
PRE10200,383
PRE10040,383
PRE10042,383
PRE10038,383
PRE10039,383
PRE10041,383
PRE10029,383
PRE10037,383
PRE10025,383
PRE10201,383
PRE10190,383
PRE10037,383
PRE10106,383
PRE10202,383
PRE10119,383
PRE10120,383
PRE10136,383
PRE10121,383
PRE10122,383
PRE10123,383
PRE10124,383
PRE10125,383
PRE10126,383
PRE10127,383
PRE10128,383
PRE10129,383
PRE10130,383
PRE10131,383
PRE10132,383
PRE10118,383
PRE10133,383
PRE10134,383
PRE10135,383
PRE10137,383
PRE10138,383
PRE10139,383
PRE10140,383
PRE10141,383
PRE10142,383
PRE10143,383
PRE10144,383
PRE10145,383
PRE10146,383
PRE10176,384
PRE10175,384
PRE10180,384
PRE10179,384
PRE10181,384
PRE10182,384
PRE10184,384
PRE10183,384
PRE10178,384
PRE10185,384
PRE10177,384
PRE10186,384
PRE10187,384
PRE10188,384
PRE10170,383
PRE10172,383
PRE10171,383
PRE10173,383
PRE10164,383
PRE10169,383
PRE10174,383
PRE10148,382
PRE10149,382
PRE10205,387
PRE10203,387
PRE10204,387
PRE10208,387
PRE10064,387
PRE10060,387
